"cargo_type,cargo_weight_tons,shipping_month,origin_port,destination_port,origin_efficiency_score,destination_efficiency_score,avg_dwell_time_origin,customs_clearance_score,congestion_index,weather_risk_score,handling_complexity_score,delay,cargo_type_encoded,origin_port_encoded,destination_port_encoded"
"Electronics,13.58,10,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.7,0,0,0,3"
"Electronics,3.04,4,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Perishable,5.4,7,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.9,0,3,1,0"
"Perishable,17.5,5,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Machinery,3.98,3,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.5,1,2,4,3"
"Machinery,10.17,7,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.5,0,2,1,0"
"Fragile,8.15,12,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Electronics,11.41,3,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.7,1,0,3,5"
"Electronics,8.92,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Standard,19.89,1,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.3,1,4,3,5"
"Electronics,6.92,8,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.7,1,0,3,5"
"Fragile,7.29,6,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Standard,19.65,7,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.3,1,4,3,0"
"Perishable,16.22,7,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Machinery,15.47,9,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Electronics,19.07,10,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.7,0,0,5,1"
"Fragile,11.38,11,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Fragile,13.17,7,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.8,1,1,4,3"
"Electronics,19.54,8,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.7,1,0,3,0"
"Perishable,12.99,12,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Fragile,0.69,9,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Fragile,11.34,2,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Standard,12.13,7,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.3,0,4,2,5"
"Machinery,6.91,1,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.5,1,2,3,0"
"Fragile,17.87,10,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.8,0,1,1,4"
"Electronics,14.73,8,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.7,0,0,1,0"
"Machinery,16.3,2,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Electronics,8.21,8,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.7,1,0,4,2"
"Electronics,11.39,5,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.7,1,0,3,5"
"Standard,8.81,5,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.3,0,4,2,5"
"Standard,10.85,11,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.3,1,4,4,1"
"Perishable,18.09,3,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.9,0,3,1,3"
"Fragile,17.56,2,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Electronics,12.1,8,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Fragile,11.64,4,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Perishable,18.32,7,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Fragile,9.55,7,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Perishable,5.09,12,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.9,0,3,2,1"
"Machinery,6.41,4,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Perishable,8.51,1,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Fragile,1.18,11,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.8,1,1,3,1"
"Perishable,6.33,6,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Standard,3.29,3,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.3,0,4,2,0"
"Machinery,13.02,3,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.5,0,2,1,2"
"Fragile,3.67,1,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.8,0,1,5,3"
"Electronics,15.46,2,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.7,0,0,2,4"
"Machinery,1.64,7,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Standard,5.64,6,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.3,0,4,0,2"
"Machinery,10.41,9,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Fragile,7.02,7,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.8,1,1,3,4"
"Machinery,2.03,1,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Standard,15.1,1,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Fragile,2.9,3,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Perishable,6.2,12,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Fragile,6.58,2,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.8,0,1,1,0"
"Fragile,8.05,3,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Electronics,3.88,6,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Standard,7.47,11,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.3,0,4,5,1"
"Machinery,5.21,5,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.5,0,2,5,2"
"Electronics,17.09,2,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.7,1,0,4,2"
"Perishable,4.78,6,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.9,1,3,0,5"
"Standard,4.08,10,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Perishable,2.98,10,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.9,0,3,2,1"
"Standard,16.6,10,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.3,0,4,0,4"
